#format table ## [Custom WaveView] saved 04:35:29 Wed Sep 24 2025
TIME ,current_in 
 3.648266384E-05 , 3.648156822E-01 
 3.648593474E-05 , 3.192708790E-01 
 3.648816630E-05 , 2.864196897E-01 
 3.649530726E-05 , 1.837321073E-01 
 3.650158337E-05 , 1.044092327E-01 
 3.651115883E-05 , 5.258678272E-02 
 3.651902087E-05 , 4.956456274E-02 
 3.653278506E-05 , 5.047056079E-02 
 3.654566401E-05 , 5.009728298E-02 
 3.657000570E-05 , 5.028222501E-02 
 3.658762529E-05 , 4.415495694E-02 
 3.659885216E-05 , 4.454358667E-02 
 3.660733362E-05 , 4.525402933E-02 
 3.660984337E-05 , 4.529092833E-02 
 3.661247221E-05 , 4.542933777E-02 
 3.661395037E-05 , 4.551850632E-02 
 3.661866480E-05 , 4.579057544E-02 
 3.662788999E-05 , 4.631689191E-02 
 3.664826827E-05 , 4.745844007E-02 
 3.668907802E-05 , 4.968513921E-02 
 3.674478916E-05 , 5.263522640E-02 
 3.683521820E-05 , 5.728707090E-02 
 3.688043272E-05 , 5.956150219E-02 
 3.701178507E-05 , 6.610990316E-02 
 3.725864251E-05 , 7.819957286E-02 
 3.796778680E-05 , 1.123341471E-01 
 3.835451690E-05 , 1.307639182E-01 
 3.913818800E-05 , 1.680448055E-01 
 4.004051150E-05 , 2.119728625E-01 
 4.069636375E-05 , 2.492049336E-01 
 4.088974955E-05 , 2.634997070E-01 
 4.114491231E-05 , 2.855916619E-01 
 4.129694346E-05 , 3.071356714E-01 
 4.140620032E-05 , 3.257425427E-01 
 4.148564338E-05 , 3.512281775E-01 
 4.151481535E-05 , 3.615626395E-01 
 4.153815292E-05 , 3.725743592E-01 
 4.155050844E-05 , 3.787306249E-01 
 4.159004611E-05 , 4.047036171E-01 
 4.159708686E-05 , 4.106972516E-01 
 4.160154562E-05 , 4.145841897E-01 
 4.160511263E-05 , 4.179913700E-01 
 4.160759560E-05 , 4.205081761E-01 
 4.161440026E-05 , 4.299917221E-01 
 4.161814718E-05 , 3.992316127E-01 
 4.162147119E-05 , 3.454053402E-01 
 4.162537945E-05 , 2.863182425E-01 
 4.162856933E-05 , 2.387977391E-01 
 4.163452295E-05 , 1.573256552E-01 
 4.164216073E-05 , 7.442431152E-02 
 4.165321785E-05 , 4.460194334E-02 
 4.166579978E-05 , 5.346093699E-02 
 4.167831018E-05 , 4.867916554E-02 
 4.169357819E-05 , 5.098702386E-02 
 4.169917877E-05 , 5.036884919E-02 
 4.170297678E-05 , 5.014559254E-02 
 4.171513039E-05 , 5.011343211E-02 
 4.173367313E-05 , 4.511778429E-02 
 4.174274307E-05 , 4.541840032E-02 
 4.175021255E-05 , 4.603678733E-02 
 4.175276178E-05 , 4.608890787E-02 
 4.175540380E-05 , 4.622735083E-02 
 4.176136457E-05 , 4.657329991E-02 
 4.176886410E-05 , 4.698671401E-02 
 4.177278843E-05 , 4.720872268E-02 
 4.178534631E-05 , 4.790275916E-02 
 4.181292608E-05 , 4.939910397E-02 
 4.186667647E-05 , 5.223591998E-02 
 4.194783208E-05 , 5.638570711E-02 
 4.209728812E-05 , 6.381265819E-02 
 4.231712283E-05 , 7.447677851E-02 
 4.239428654E-05 , 7.816892862E-02 
 4.262154463E-05 , 8.899783343E-02 
 4.304618616E-05 , 1.090574786E-01 
 4.368750721E-05 , 1.391441822E-01 
 4.450861467E-05 , 1.775975525E-01 
 4.536059487E-05 , 2.190465182E-01 
 4.604697909E-05 , 2.608272731E-01 
 4.620560425E-05 , 2.740835547E-01 
 4.644695441E-05 , 2.988680005E-01 
 4.658451366E-05 , 3.265179694E-01 
 4.666367321E-05 , 3.459714353E-01 
 4.671183120E-05 , 3.662630618E-01 
 4.673007738E-05 , 3.745592833E-01 
 4.674467433E-05 , 3.827459812E-01 
 4.675570448E-05 , 3.892837465E-01 
 4.678862964E-05 , 4.142040908E-01 
 4.680703891E-05 , 3.672994673E-01 
 4.681027949E-05 , 3.226029277E-01 
 4.681252463E-05 , 2.896442711E-01 
 4.681970908E-05 , 1.860396713E-01 
 4.682588974E-05 , 1.074953526E-01 
 4.683532865E-05 , 5.030537024E-02 
 4.684654656E-05 , 5.017990619E-02 
 4.686203354E-05 , 5.015878379E-02 
 4.687517757E-05 , 5.015436932E-02 
 4.689695974E-05 , 5.011438578E-02 
 4.690137841E-05 , 4.976846650E-02 
 4.690416217E-05 , 4.905723035E-02 
 4.691105910E-05 , 4.577673599E-02 
 4.691895154E-05 , 4.600985721E-02 
 4.692297140E-05 , 4.641285539E-02 
 4.692813135E-05 , 4.655922204E-02 
 4.693449205E-05 , 4.704554006E-02 
 4.694093925E-05 , 4.729058221E-02 
 4.694897763E-05 , 4.784008116E-02 
 4.695845822E-05 , 4.826527089E-02 
 4.696977221E-05 , 4.896516353E-02 
 4.698383430E-05 , 4.963437468E-02 
 4.700119521E-05 , 5.062815174E-02 
 4.700662956E-05 , 5.087308586E-02 
 4.701587221E-05 , 5.135079101E-02 
 4.703484775E-05 , 5.232819170E-02 
 4.705976047E-05 , 5.359442532E-02 
 4.707969064E-05 , 5.459370464E-02 
 4.714346721E-05 , 5.775353685E-02 
 4.731970030E-05 , 6.625553221E-02 
 4.764110546E-05 , 8.132393658E-02 
 4.795670530E-05 , 9.587070346E-02 
 4.840485748E-05 , 1.163542047E-01 
 4.898432770E-05 , 1.426854283E-01 
 5.008250122E-05 , 1.928190291E-01 
 5.082597611E-05 , 2.292542011E-01 
 5.104252687E-05 , 2.416864038E-01 
 5.135168012E-05 , 2.614246607E-01 
 5.150092971E-05 , 2.736155689E-01 
 5.170693994E-05 , 2.933829129E-01 
 5.184045206E-05 , 3.148059547E-01 
 5.193805126E-05 , 3.337968588E-01 
 5.200530345E-05 , 3.581622243E-01 
 5.202827828E-05 , 3.672360778E-01 
 5.204665815E-05 , 3.764765859E-01 
 5.205822252E-05 , 3.826083839E-01 
 5.209506550E-05 , 4.080442488E-01 
 5.210086209E-05 , 4.131140411E-01 
 5.210488438E-05 , 4.167430401E-01 
 5.210810221E-05 , 4.201925993E-01 
 5.210979656E-05 , 4.221625626E-01 
 5.211521849E-05 , 4.293138981E-01 
 5.211857487E-05 , 3.997834623E-01 
 5.212131431E-05 , 3.547015488E-01 
 5.212515759E-05 , 2.961868346E-01 
 5.212805092E-05 , 2.521181703E-01 
 5.213301032E-05 , 1.826598495E-01 
 5.213942825E-05 , 1.013129503E-01 
 5.214841210E-05 , 5.011197180E-02 
 5.215878632E-05 , 5.016494915E-02 
 5.217321225E-05 , 5.021147430E-02 
 5.218603432E-05 , 5.014625192E-02 
 5.221167846E-05 , 5.010366067E-02 
 5.222955073E-05 , 4.434523359E-02 
 5.224073066E-05 , 4.463895410E-02 
 5.224928820E-05 , 4.531695321E-02 
 5.225182504E-05 , 4.534225911E-02 
 5.225446347E-05 , 4.546912760E-02 
 5.225594703E-05 , 4.555219412E-02 
 5.226061721E-05 , 4.580137134E-02 
 5.226977446E-05 , 4.628417268E-02 
 5.228994386E-05 , 4.732775688E-02 
 5.233060283E-05 , 4.937299341E-02 
 5.238431519E-05 , 5.198929459E-02 
 5.247256345E-05 , 5.615252629E-02 
 5.264905997E-05 , 6.421613693E-02 
 5.289453735E-05 , 7.512996346E-02 
 5.297708651E-05 , 7.874821126E-02 
 5.322579716E-05 , 8.959922194E-02 
 5.368965921E-05 , 1.096495837E-01 
 5.474739010E-05 , 1.551213861E-01 
 5.540514176E-05 , 1.833787560E-01 
 5.632971879E-05 , 2.257580012E-01 
 5.708103888E-05 , 2.743844390E-01 
 5.723389417E-05 , 2.899773121E-01 
 5.743190077E-05 , 3.161593676E-01 
 5.753980462E-05 , 3.486324251E-01 
 5.757636586E-05 , 3.610759377E-01 
 5.760561485E-05 , 3.754373193E-01 
 5.761797596E-05 , 3.818618655E-01 
 5.765753150E-05 , 4.091689885E-01 
 5.766370110E-05 , 4.146928191E-01 
 5.766773107E-05 , 4.185031652E-01 
 5.767095505E-05 , 4.227022529E-01 
 5.767200076E-05 , 4.241631925E-01 
 5.767534703E-05 , 4.296651781E-01 
 5.767815035E-05 , 4.108983874E-01 
 5.768040243E-05 , 3.757871687E-01 
 5.768333945E-05 , 3.296906352E-01 
 5.768585317E-05 , 2.912937105E-01 
 5.769088059E-05 , 2.176612169E-01 
 5.770010394E-05 , 9.894926101E-02 
 5.771351189E-05 , 4.358365014E-02 
 5.772597497E-05 , 5.379843712E-02 
 5.774088961E-05 , 4.810669273E-02 
 5.775560268E-05 , 5.123477429E-02 
 5.777728404E-05 , 4.905828089E-02 
 5.779516671E-05 , 4.743882641E-02 
 5.780691830E-05 , 4.782217741E-02 
 5.781553232E-05 , 4.844347388E-02 
 5.782577452E-05 , 4.877080768E-02 
 5.783736466E-05 , 4.949710518E-02 
 5.784950194E-05 , 4.992429540E-02 
 5.786351176E-05 , 5.073110014E-02 
 5.786744750E-05 , 5.084271356E-02 
 5.787265020E-05 , 5.107885599E-02 
 5.787543648E-05 , 5.121070147E-02 
 5.788435259E-05 , 5.162262172E-02 
 5.790588851E-05 , 5.260550976E-02 
 5.795041847E-05 , 5.459562317E-02 
 5.809291434E-05 , 6.073074043E-02 
 5.829496610E-05 , 6.908819079E-02 
 5.857406722E-05 , 8.034362644E-02 
 5.866039882E-05 , 8.378040045E-02 
 5.893665991E-05 , 9.473514557E-02 
 5.945883979E-05 , 1.152966917E-01 
 6.043603173E-05 , 1.537071168E-01 
 6.148585386E-05 , 1.956339478E-01 
 6.233403931E-05 , 2.334688157E-01 
 6.262512891E-05 , 2.500316799E-01 
 6.291560292E-05 , 2.687155306E-01 
 6.306083992E-05 , 2.811887562E-01 
 6.324563415E-05 , 3.000371158E-01 
 6.338803557E-05 , 3.292284012E-01 
 6.345646656E-05 , 3.459490538E-01 
 6.350557596E-05 , 3.663541675E-01 
 6.352300127E-05 , 3.741375208E-01 
 6.357876224E-05 , 4.114343226E-01 
 6.358652442E-05 , 4.201512039E-01 
 6.359061900E-05 , 4.259763062E-01 
 6.359281772E-05 , 4.229535758E-01 
 6.359359788E-05 , 4.189776182E-01 
 6.359575416E-05 , 3.904041350E-01 
 6.359794597E-05 , 3.548378050E-01 
 6.359992472E-05 , 3.245161772E-01 
 6.360286377E-05 , 2.795266211E-01 
 6.360726869E-05 , 2.156293839E-01 
 6.361407559E-05 , 1.254088581E-01 
 6.362646070E-05 , 5.004968867E-02 
 6.363829077E-05 , 5.013717711E-02 
 6.365501392E-05 , 5.002775788E-02 
 6.366942549E-05 , 5.016922578E-02 
 6.369269269E-05 , 5.005488917E-02 
 6.371063422E-05 , 4.538811743E-02 
 6.372249802E-05 , 4.573541507E-02 
 6.373123176E-05 , 4.632984847E-02 
 6.373378886E-05 , 4.635296389E-02 
 6.373666990E-05 , 4.647226259E-02 
 6.373827036E-05 , 4.654943943E-02 
 6.374339183E-05 , 4.678172991E-02 
 6.375341350E-05 , 4.722854123E-02 
 6.377428663E-05 , 4.814179614E-02 
 6.381912063E-05 , 5.003684387E-02 
 6.388370893E-05 , 5.265817419E-02 
 6.399483104E-05 , 5.698418245E-02 
 6.419376599E-05 , 6.442849338E-02 
 6.445731427E-05 , 7.399919629E-02 
 6.481858071E-05 , 8.690341562E-02 
 6.528765030E-05 , 1.035381705E-01 
 6.544931012E-05 , 1.092656329E-01 
 6.583222880E-05 , 1.228485554E-01 
 6.666454552E-05 , 1.525884122E-01 
 6.752298499E-05 , 1.838531643E-01 
 6.838348353E-05 , 2.174118757E-01 
 6.926576858E-05 , 2.645065188E-01 
 6.943802263E-05 , 2.782383561E-01 
 6.967957120E-05 , 3.024189472E-01 
 6.982610172E-05 , 3.368504643E-01 
