#format table ## [Custom WaveView] saved 04:36:04 Wed Sep 24 2025
TIME ,v_u 
 3.571853634E-05 , 1.046684980E-01 
 3.588560215E-05 , 1.046692282E-01 
 3.611761316E-05 , 1.046720073E-01 
 3.625798241E-05 , 1.046803445E-01 
 3.633643702E-05 , 1.046867669E-01 
 3.638683768E-05 , 1.046956629E-01 
 3.640505070E-05 , 1.046992019E-01 
 3.641962111E-05 , 1.047028601E-01 
 3.643073499E-05 , 1.047058329E-01 
 3.646415294E-05 , 1.047176644E-01 
 3.648266384E-05 , 1.064070314E-01 
 3.648593474E-05 , 1.071869656E-01 
 3.648816630E-05 , 1.077353582E-01 
 3.649530726E-05 , 1.095471233E-01 
 3.650158337E-05 , 1.111580431E-01 
 3.651115883E-05 , 1.136551350E-01 
 3.651902087E-05 , 1.157277375E-01 
 3.653278506E-05 , 1.193502247E-01 
 3.654566401E-05 , 1.226372421E-01 
 3.657000570E-05 , 1.264417022E-01 
 3.658762529E-05 , 1.271443665E-01 
 3.659885216E-05 , 1.272992045E-01 
 3.660733362E-05 , 1.273853779E-01 
 3.660984337E-05 , 1.274066269E-01 
 3.661247221E-05 , 1.274282634E-01 
 3.661395037E-05 , 1.274396479E-01 
 3.661866480E-05 , 1.274746060E-01 
 3.662788999E-05 , 1.275351197E-01 
 3.664826827E-05 , 1.276418120E-01 
 3.668907802E-05 , 1.277930737E-01 
 3.674478916E-05 , 1.279279590E-01 
 3.683521820E-05 , 1.280688792E-01 
 3.688043272E-05 , 1.281144321E-01 
 3.701178507E-05 , 1.282224357E-01 
 3.725864251E-05 , 1.283408105E-01 
 3.796778680E-05 , 1.284678727E-01 
 3.835451690E-05 , 1.284724921E-01 
 3.913818800E-05 , 1.284391284E-01 
 4.004051150E-05 , 1.283581704E-01 
 4.069636375E-05 , 1.282856166E-01 
 4.088974955E-05 , 1.282638311E-01 
 4.114491231E-05 , 1.282362193E-01 
 4.129694346E-05 , 1.282235533E-01 
 4.140620032E-05 , 1.282160282E-01 
 4.148564338E-05 , 1.282168329E-01 
 4.151481535E-05 , 1.282176375E-01 
 4.153815292E-05 , 1.282197684E-01 
 4.155050844E-05 , 1.282210648E-01 
 4.159004611E-05 , 1.282283813E-01 
 4.159708686E-05 , 1.282303184E-01 
 4.160154562E-05 , 1.282315999E-01 
 4.160511263E-05 , 1.282328516E-01 
 4.160759560E-05 , 1.282338947E-01 
 4.161440026E-05 , 1.286945045E-01 
 4.161814718E-05 , 1.295109391E-01 
 4.162147119E-05 , 1.303847283E-01 
 4.162537945E-05 , 1.313465834E-01 
 4.162856933E-05 , 1.321661770E-01 
 4.163452295E-05 , 1.336504221E-01 
 4.164216073E-05 , 1.355929077E-01 
 4.165321785E-05 , 1.384397596E-01 
 4.166579978E-05 , 1.417237073E-01 
 4.167831018E-05 , 1.449597925E-01 
 4.169357819E-05 , 1.486423165E-01 
 4.169917877E-05 , 1.496103257E-01 
 4.170297678E-05 , 1.501805484E-01 
 4.171513039E-05 , 1.511999667E-01 
 4.173367313E-05 , 1.517103165E-01 
 4.174274307E-05 , 1.518267989E-01 
 4.175021255E-05 , 1.519019157E-01 
 4.175276178E-05 , 1.519235671E-01 
 4.175540380E-05 , 1.519453526E-01 
 4.176136457E-05 , 1.519902647E-01 
 4.176886410E-05 , 1.520395875E-01 
 4.177278843E-05 , 1.520621032E-01 
 4.178534631E-05 , 1.521276087E-01 
 4.181292608E-05 , 1.522382498E-01 
 4.186667647E-05 , 1.523812711E-01 
 4.194783208E-05 , 1.525085419E-01 
