#format table ## [Custom WaveView] saved 04:37:16 Wed Sep 24 2025
TIME ,ap 
 5.224073066E-05 ,-8.323784918E-03 
 5.224928820E-05 , 1.057568844E-02 
 5.225182504E-05 , 7.437915774E-04 
 5.225446347E-05 ,-5.408900906E-04 
 5.225594703E-05 ,-1.894174638E-04 
 5.226061721E-05 ,-9.689798026E-05 
 5.226977446E-05 ,-4.077616541E-05 
 5.228994386E-05 ,-2.962176222E-05 
 5.233060283E-05 ,-5.190223237E-05 
 5.238431519E-05 , 1.127018095E-05 
 5.247256345E-05 ,-8.389120921E-05 
 5.264905997E-05 ,-7.652715431E-05 
 5.289453735E-05 ,-1.911487489E-04 
 5.297708651E-05 ,-1.895680034E-04 
 5.322579716E-05 ,-1.895220339E-04 
 5.368965921E-05 ,-1.893992885E-04 
 5.474739010E-05 ,-1.789743546E-04 
 5.540514176E-05 ,-1.790394745E-04 
 5.632971879E-05 ,-1.797361765E-04 
 5.708103888E-05 ,-1.840320183E-04 
 5.723389417E-05 ,-1.799660677E-04 
 5.743190077E-05 ,-1.777002617E-04 
 5.753980462E-05 ,-1.610224572E-04 
 5.757636586E-05 ,-1.230805210E-04 
 5.760561485E-05 , 1.159757667E-04 
 5.761797596E-05 , 1.651859930E-05 
 5.765753150E-05 ,-8.471637964E-03 
 5.766370110E-05 ,-1.174929366E-02 
 5.766773107E-05 ,-3.821311984E-03 
 5.767095505E-05 , 8.456947654E-02 
 5.767200076E-05 , 1.212139353E-01 
 5.767534703E-05 , 3.582324684E-01 
 5.767815035E-05 , 4.972414076E-01 
 5.768040243E-05 , 5.000399351E-01 
 5.768333945E-05 , 4.990734756E-01 
 5.768585317E-05 , 4.997373819E-01 
 5.769088059E-05 , 4.995076060E-01 
 5.770010394E-05 , 4.997146726E-01 
 5.771351189E-05 , 5.000470877E-01 
 5.772597497E-05 , 5.003406405E-01 
 5.774088961E-05 , 5.000965595E-01 
 5.775560268E-05 , 5.014448762E-01 
 5.777728404E-05 , 4.820753932E-01 
 5.779516671E-05 , 1.144287828E-02 
 5.780691830E-05 ,-7.916619070E-03 
 5.781553232E-05 , 8.912912570E-03 
 5.782577452E-05 ,-6.906777620E-03 
 5.783736466E-05 , 7.506438531E-03 
 5.784950194E-05 ,-6.171882618E-03 
 5.786351176E-05 , 6.689365488E-03 
 5.786744750E-05 , 2.898436505E-04 
 5.787265020E-05 ,-2.632278192E-04 
 5.787543648E-05 ,-2.303177098E-05 
 5.788435259E-05 , 7.252445357E-06 
 5.790588851E-05 ,-1.545057239E-05 
 5.795041847E-05 ,-7.789817573E-06 
 5.809291434E-05 ,-2.010842763E-05 
 5.829496610E-05 , 5.725685696E-06 
 5.857406722E-05 ,-7.694898522E-05 
 5.866039882E-05 ,-1.950466867E-06 
 5.893665991E-05 ,-1.648570446E-06 
 5.945883979E-05 ,-1.968572178E-06 
 6.043603173E-05 ,-1.655862548E-06 
 6.148585386E-05 ,-1.925378001E-06 
 6.233403931E-05 ,-1.324086043E-06 
 6.262512891E-05 ,-1.176808837E-06 
 6.291560292E-05 ,-6.302679481E-07 
 6.306083992E-05 ,-8.187338949E-07 
 6.324563415E-05 ,-1.308804087E-07 
 6.338803557E-05 , 1.807593662E-06 
 6.345646656E-05 , 4.543800060E-06 
 6.350557596E-05 , 2.600032167E-05 
 6.352300127E-05 , 3.604156882E-05 
 6.357876224E-05 ,-9.642607532E-03 
 6.358652442E-05 , 1.017406955E-01 
 6.359061900E-05 , 2.601223886E-01 
 6.359281772E-05 , 4.319323301E-01 
 6.359359788E-05 , 4.772872925E-01 
 6.359575416E-05 , 5.036589503E-01 
 6.359794597E-05 , 4.972181618E-01 
 6.359992472E-05 , 5.004311204E-01 
 6.360286377E-05 , 4.988661706E-01 
 6.360726869E-05 , 4.999420643E-01 
 6.361407559E-05 , 4.992380738E-01 
 6.362646070E-05 , 5.003288984E-01 
 6.363829077E-05 , 4.998209774E-01 
 6.365501392E-05 , 5.004126430E-01 
 6.366942549E-05 , 5.007452965E-01 
 6.369269269E-05 , 4.871705174E-01 
 6.371063422E-05 , 1.126949023E-02 
 6.372249802E-05 ,-7.903814316E-03 
 6.373123176E-05 , 8.928984404E-03 
 6.373378886E-05 , 6.078638835E-04 
 6.373666990E-05 ,-4.656014498E-04 
 6.373827036E-05 ,-5.926368976E-05 
 6.374339183E-05 , 2.676146141E-05 
 6.375341350E-05 ,-4.001765410E-05 
 6.377428663E-05 ,-1.318432805E-05 
 6.381912063E-05 ,-3.958472371E-05 
 6.388370893E-05 ,-5.825898552E-05 
 6.399483104E-05 ,-6.510285311E-05 
 6.419376599E-05 , 3.171854405E-05 
 6.445731427E-05 ,-1.367277873E-04 
 6.481858071E-05 ,-1.512654271E-04 
 6.528765030E-05 ,-6.897381536E-05 
 6.544931012E-05 ,-1.110606390E-04 
 6.583222880E-05 ,-1.111477832E-04 
 6.666454552E-05 ,-1.110531812E-04 
 6.752298499E-05 ,-1.110876328E-04 
 6.838348353E-05 ,-1.106988275E-04 
 6.926576858E-05 ,-1.112907048E-04 
 6.943802263E-05 ,-1.110050216E-04 
 6.967957120E-05 ,-1.099254368E-04 
 6.982610172E-05 ,-1.053241576E-04 
 6.988296294E-05 ,-8.996435645E-05 
 6.992746248E-05 , 1.474772289E-04 
 6.994175004E-05 , 1.592065564E-05 
 6.998747024E-05 ,-1.137898304E-02 
 7.001372372E-05 , 4.792239964E-01 
 7.001825266E-05 , 4.973701835E-01 
 7.002108763E-05 , 5.000957847E-01 
 7.003015956E-05 , 4.989754260E-01 
 7.003995208E-05 , 5.005176663E-01 
 7.005090569E-05 , 4.995920956E-01 
 7.006521659E-05 , 5.007306337E-01 
 7.007860709E-05 , 5.007063746E-01 
 7.009873141E-05 , 4.773302376E-01 
 7.011668699E-05 , 1.049742661E-02 
 7.012821765E-05 ,-7.688182406E-03 
 7.013672460E-05 , 8.324506693E-03 
 7.013927921E-05 , 5.659047165E-04 
 7.014220625E-05 ,-4.359215091E-04 
 7.014383225E-05 ,-5.346558464E-05 
 7.014903548E-05 , 2.636998943E-05 
 7.015943291E-05 ,-3.692714745E-05 
 7.018114201E-05 ,-5.684946245E-06 
 7.022658156E-05 ,-2.810026053E-04 
 7.029071737E-05 , 1.158302803E-05 
 7.040198674E-05 ,-3.263442341E-05 
 7.060055417E-05 , 2.862349356E-05 
 7.086680275E-05 ,-5.215983401E-05 
 7.122403974E-05 , 2.354008211E-05 
 7.169238387E-05 ,-3.670996739E-05 
 7.233593800E-05 ,-2.179087751E-04 
 7.255474785E-05 ,-3.713995739E-06 
 7.292843656E-05 ,-3.364553095E-06 
 7.404096584E-05 ,-3.691128995E-06 
 7.474639949E-05 ,-3.330106210E-06 
 7.573031790E-05 ,-3.603864570E-06 
 7.592241446E-05 ,-2.681175829E-06 
 7.621547135E-05 ,-2.094838464E-06 
 7.639064114E-05 ,-8.039731938E-07 
 7.648629611E-05 , 8.698718830E-07 
 7.656066113E-05 , 1.499036989E-05 
 7.658245384E-05 , 2.299254629E-05 
 7.659988801E-05 , 4.631273987E-05 
 7.661160612E-05 , 5.212894757E-05 
 7.664861702E-05 ,-7.095085457E-03 
 7.665427293E-05 ,-1.185494754E-02 
 7.665828666E-05 ,-1.060003135E-02 
 7.666149765E-05 , 3.737031668E-02 
 7.666287483E-05 , 6.769497693E-02 
 7.666728180E-05 , 3.494053483E-01 
 7.667035600E-05 , 4.981217086E-01 
 7.667295226E-05 , 4.998125732E-01 
 7.667603505E-05 , 4.993338585E-01 
 7.667872481E-05 , 4.997390807E-01 
 7.668410433E-05 , 4.994446933E-01 
 7.669357781E-05 , 4.996474385E-01 
 7.670712721E-05 , 5.001294613E-01 
 7.672010014E-05 , 4.999912679E-01 
 7.673424490E-05 , 5.001243949E-01 
 7.674949244E-05 , 5.018806458E-01 
 7.677005517E-05 , 4.660744965E-01 
 7.678819460E-05 , 9.979736991E-03 
 7.680035358E-05 ,-7.397188805E-03 
 7.680912780E-05 , 8.079244755E-03 
 7.681957959E-05 ,-6.527559366E-03 
 7.683179877E-05 , 6.870153360E-03 
 7.684459479E-05 ,-5.781366024E-03 
 7.685960028E-05 , 6.192408036E-03 
 7.686387411E-05 , 2.485910372E-04 
 7.686968809E-05 ,-2.280287590E-04 
 7.688204463E-05 , 2.120597637E-04 
 7.689701497E-05 ,-2.073734940E-04 
 7.690728890E-05 ,-1.882694778E-05 
 7.694016547E-05 ,-1.219357455E-05 
 7.701814136E-05 ,-1.845264887E-05 
 7.717497231E-05 ,-3.552975613E-06 
 7.743438067E-05 ,-2.575203689E-05 
 7.775292606E-05 ,-3.689340156E-05 
 7.818040669E-05 ,-8.089821495E-05 
 7.857600361E-05 ,-8.243589400E-05 
 7.961772426E-05 ,-8.087498281E-05 
 8.056776013E-05 ,-8.093866199E-05 
 8.167748575E-05 ,-8.159838035E-05 
 8.261316010E-05 ,-8.707412053E-05 
 8.283155014E-05 ,-9.036588744E-05 
 8.311398249E-05 ,-8.340352360E-05 
 8.329669574E-05 ,-8.096894453E-05 
 8.340393437E-05 ,-8.026448631E-05 
 8.348972527E-05 ,-7.028434629E-05 
 8.352223746E-05 ,-5.406389755E-05 
 8.354824720E-05 , 3.672610910E-05 
 8.356155214E-05 , 9.046791092E-05 
 8.360412792E-05 ,-5.198137951E-04 
 8.361217843E-05 ,-4.880365916E-03 
 8.361700121E-05 ,-8.767717518E-03 
 8.362085944E-05 ,-8.400519378E-03 
 8.362332541E-05 ,-2.351779956E-03 
 8.363048070E-05 , 3.338373601E-01 
 8.363435846E-05 , 4.991968274E-01 
 8.363802806E-05 , 4.994879663E-01 
